comment,rank
최애치킨 허니콤보에요! 너무맛있어서 1주일에 1번은 먹습니다 ㅎㅎ,"
맛
★
5
양
★
5
배달
★
5
"
가격이 올라 맘은 아프지만.. 맛있게 잘 먹었습니다 ㅎㅎ,"
맛
★
4
양
★
5
배달
★
5
"
맛있어요,"
맛
★
5
양
★
5
배달
★
5
"
교촌 믿고 먹는 곳이죠 배달 제시간에 도착하고 아이들이 배부르게 잘먹엇습니다 칩카사바 주신것도 맛있었어요 또 주문해 먹을게요~~~,"
맛
★
5
양
★
5
배달
★
5
"
항상 너무 맛있게 먹고 있어요!!!,"
맛
★
5
양
★
5
배달
★
5
"
언제나 맛있어요! 강추입니다,"
맛
★
5
양
★
5
배달
★
5
"
치킨은 항상 맛있고 치즈볼 세트로 먹었는데 치즈볼 너무 맛있네요..ㅎㅎㅎ 잘 먹었습니다,"
맛
★
5
양
★
5
배달
★
5
"
역시 최고입니다 교촌은 언제나 진리이네요 다음에도또주문할께요,"
맛
★
5
양
★
5
배달
★
5
"
배달사간 최악.,"
맛
★
4
양
★
4
배달
★
1
"
잘 먹었습니다~~~~~,"
맛
★
5
양
★
5
배달
★
5
"
별다른 말이 필요있을까요~또 맛나게 먹었습니당^^,"
맛
★
5
양
★
5
배달
★
5
"
"배달빠르고 메뉴는 잘되서 왔지만 이메뉴는 정말.. 비추요...
허니콤보가 진리!","
맛
★
3
양
★
5
배달
★
5
"
매번 시간내에 배달와서 따뜻해요 감사합니다,"
맛
★
5
양
★
5
배달
★
5
"
오랜만에 넘 맛있어요,"
맛
★
5
양
★
4
배달
★
5
"
라이스세트는 좀 심심한 프라이드인데 바삭하기는 최고,"
맛
★
5
양
★
5
배달
★
5
"
22년 첫 치킨 교촌 허니콤보!,"
맛
★
5
양
★
5
배달
★
5
"
"가족들과함께
너무맛있게먹었습니다.","
맛
★
5
양
★
5
배달
★
5
"
"맛도 배달기사님도 너무 친절한 교촌 영등포역점,
주 1회 1치킨!!","
맛
★
5
양
★
5
배달
★
5
"
치킨먹고 싶어서 주문했는데 맛있어용👍👍,"
맛
★
4
양
★
4
배달
★
4
"
맛있어요오 맛있어요오맛있어요오 맛있어요오,"
맛
★
5
양
★
5
배달
★
5
"
부드럽고 정말맛있어요❤️,"
맛
★
5
양
★
5
배달
★
5
"
치킨은 원래 맛있고 교촌을 치즈볼 맛집으로 임명합니다.,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었습니다! 원래 허니 레드만 먹다가 트러플치즈 주문했는데 맛있네요,"
맛
★
5
양
★
5
배달
★
5
"
항상 맛있습니다!!,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었습니다.,"
맛
★
4
양
★
3
배달
★
4
"
이벤트 덕분에 맛잇게 잘 먹었습니다,"
맛
★
5
양
★
5
배달
★
5
"
언제나 너무 맛있게 잘 먹고 있습니다!,"
맛
★
5
양
★
5
배달
★
5
"
너무 맛있어요 교촌,"
맛
★
5
양
★
5
배달
★
5
"
신메뉴가 나왔길래 먹어봤는데 소스맛이 특이하네요 소스없이 먹어도 간장맛이라 맛있었습니다.,"
맛
★
5
양
★
4
배달
★
4
"
맛있게 잘먹었습니다~,"
맛
★
5
양
★
5
배달
★
5
"
"빠른 배달과 맛있는 교촌 레드오리지날
맛있게 잘먹었습니다.^^~","
맛
★
5
양
★
5
배달
★
5
"
더럽게 맛없고 눅눅한 치킨이 내 금요일 밤을 망침. 최악이라 사진도 안찍었음. 다시는 안시켜먹음.,"
맛
★
1
양
★
1
배달
★
2
"
교촌 레드콤보야 늘 맛있고 간장도 맛있네요 치즈볼은 크림치즈있어서 특이하고 배송은 조금 걸렸네요,"
맛
★
5
양
★
5
배달
★
4
"
허니콤보 맛있게 먹었어요,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었어요. 감사합니다,"
맛
★
5
양
★
5
배달
★
5
"
교촌 허니 좋아요~,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 먹었습니다.,"
맛
★
5
양
★
5
배달
★
5
"
제가 소스 맛으로 먹는데 소스가 잘못와서 정말 죄송하지만 연락드렸는데 바로 갖다주셔서 너무 감사합니다..!! 닭 상태도 되게 좋고 맛있게 잘 먹었어요,"
맛
★
5
양
★
5
배달
★
5
"
허니콤보 배달이 허니 한마리로 와서 연락하고 사진 보냈더니 바로 새로 하나 해서 갖다주셨어요. 이렇게 빠른 대응해주시는 곳은 오랜만이네요ㅎㅎ 교촌 본사에라도 전화해서 말하고 싶네요. 다른 지점에 비해 튀김 정도나 양도 다 만족스러웠어요. 강추합니다!,"
맛
★
5
양
★
4
배달
★
4
"
잘받앗어요!! 빨리보내주셔서감사합니다!,"
맛
★
5
양
★
5
배달
★
5
"
오랜만에 교촌먹었는데 양도 많고 맛있게 잘먹었습니다~~,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 먹어놓고 뒤늦게 리뷰 작성하네요! 배달도 빠르고 맛있게 잘먹었습니다!,"
맛
★
5
양
★
5
배달
★
5
"
배달 빠르죠 따뜻하게 항상 푸짐 영등포역 좋아요   ㅎ ㅎ,"
맛
★
4
양
★
4
배달
★
5
"
치즈볼 너무 맛있어서 먹고 나서 찍었어요 단짠 최고조합❤,"
맛
★
5
양
★
5
배달
★
5
"
항상 시키는곳 항상 맛있는 곳!!!,"
맛
★
5
양
★
5
배달
★
5
"
"짠맛이 생각보다 강해서 놀랐어요
잘 먹었습니다","
맛
★
3
양
★
4
배달
★
4
"
쿄촌 항상 너무 맛있어용,"
맛
★
5
양
★
5
배달
★
5
"
배달도 빠르고 잘 먹었습니다.,"
맛
★
5
양
★
5
배달
★
5
"
발사믹 처음먹었는데  좋았어요,"
맛
★
5
양
★
5
배달
★
4
"
맛있어요오 맛있어요오,"
맛
★
5
양
★
5
배달
★
5
"
"언제나 먹어도 맛잇는 교촌.
먹다가사진 찍는걸 깜박하는 ㅎ
잘먹었습니다 사장님~!!","
맛
★
5
양
★
5
배달
★
5
"
허니콤보 믿고먹어유 굳굳,"
맛
★
5
양
★
5
배달
★
5
"
"잘~  먹었습니다.
배달은 좀 걸렸지만요...","
맛
★
4
양
★
4
배달
★
3
"
뭐 다른 말이 필요할까요 교촌인데!,"
맛
★
5
양
★
5
배달
★
5
"
너무 다 식어서 왔어요 ㅠ,"
맛
★
3
양
★
5
배달
★
1
"
맛있어요 또먹울거에요,"
맛
★
5
양
★
5
배달
★
4
"
언제 먹어도 맛있네요^^ 집 근처 교촌은 너무 짜기만 한데 영등포역점은 맛있어요👍,"
맛
★
5
양
★
5
배달
★
5
"
교촌치킨 맛있어요. 요새 신메뉴가 많이 나오네여~,"
맛
★
5
양
★
5
배달
★
5
"
"항상 맛있어서
영등포역 지점에서만
시켜요~~~","
맛
★
5
양
★
5
배달
★
5
"
맛있어요~~~~~~,"
맛
★
5
양
★
5
배달
★
5
"
역시 교촌 오리지널입니다!!!,"
맛
★
5
양
★
5
배달
★
5
"
교촌은 믿고 먹는 취킨!!,"
맛
★
5
양
★
5
배달
★
5
"
"배달이 참 친절하고 좋았습니다. 
다만. 예전보다 양이 줄은 건지.. 그리웠던 맛과는 좀 달랐던 것과 떡볶이가 많이 실망이었네요.","
맛
★
4
양
★
4
배달
★
5
"
"맛, 배달 모두 최고였습니다!!","
맛
★
5
양
★
5
배달
★
5
"
허겁지겁 먹어 사진은 못 남겼지만 여윽시 꿀맛 교촌 영등포역점! 번창하세요!,"
맛
★
5
양
★
5
배달
★
5
"
감사합니다 잘받았습니다 늘 교촌만 먹어요,"
맛
★
5
양
★
5
배달
★
5
"
맛있어요! 맛있어요!,"
맛
★
5
양
★
5
배달
★
5
"
배달도 빠르고 기사님도 친절하십니다,"
맛
★
4
양
★
5
배달
★
5
"
불닭에 허니콤보 먹방보다가 급 주문했습니다,"
맛
★
5
양
★
5
배달
★
5
"
