comment,rank
"완전 맛있게 먹었습니다
역시 고추바사삭!!","
맛
★
5
양
★
5
배달
★
5
"
오리지날 최고에요!!!!!,"
맛
★
5
양
★
5
배달
★
5
"
맛나요. 맛나요. 맛나요,"
맛
★
5
양
★
5
배달
★
5
"
처음 먹어보는데 맛있어용 !,"
맛
★
5
양
★
5
배달
★
4
"
배달 올때 부터 비닌봉지랑 박스에 소스가 더 묻어있었고 치킨에도 양념이 거의 묻어있지 않고 소스도 다 세어서 남아 있지 않았습니다 결국 소스만 추가로 가져다 달라고 말했고 주면서 딱히 사과도 없더군요 얼마나 바쁜 시간대인지는 모르겠으나 양념이 있는 치킨 이라면 최소한 위에 랩이라도 씌워서 배달을 하던가 최소한의 서비스도 없고 여기선 다시는 안시켜먹을듯 합니다,"
맛
★
1
양
★
3
배달
★
1
"
"꼬소하이 쳐 쥑이네 
피자 치킨 다 맛있습니다!","
맛
★
5
양
★
5
배달
★
5
"
항상 잘 먹고있습니다!,"
맛
★
5
양
★
5
배달
★
0
"
"닭이 덜익은 부분도 있고해서 반만먹고 반은 버렸습니다,,,앞으로 확인좀 하시고 장사하시길,,,","
맛
★
3
양
★
5
배달
★
5
"
개꿀맛탱 사진은먹어버린후,"
맛
★
5
양
★
5
배달
★
5
"
맛있게먹었어요. 배달이빠르면더좋을것같네요,"
맛
★
5
양
★
5
배달
★
5
"
소스가 아래로 흘러내려서 별로 없어보이네요ㅠ  닭 신선하고 맛있어요  갈비천왕은 꼭 밥이랑 같이 먹어야 끌맛이라는거~  맛있게 잘먹었습니다 :),"
맛
★
5
양
★
5
배달
★
0
"
"후기를 보면 고추바사삭을 시키면 캔콜라를 주는게
기본인데 고추바사삭 화면에 추가 메뉴가 아닌 음료메뉴로 따로 가서 사이다 500미리를 따로 추가했더니 캔콜라가 안와서 전화했더니
헛소리만 하네요 사이즈업이 아닌 사이다 500미리를 추가했는데 기본 콜라가 사라지는게 말이 되나요?
따지는 말투부터 말이 안통할거 같아서 끊었는데
그렇게 장사하지마세요~  안그래도 후기를 보니 진짜 별로인 곳이네요 왜 안좋은지 알고갑니다 앞으로는 다들 후기 보고 시키세요! 2000원 먹고 행복하시길~","
맛
★
1
양
★
1
배달
★
1
"
신도림점에서 처음 시키는 것이 아닌데 역대 최악입니다… ㅠㅠ 우선 일회용 수저나 포크 넣어달라고 요청 드렸는데 안 왔구요 ㅠㅠ 예상 배달 시간보다 늦게 와서 감자튀김 완전 눅눅하구요ㅜㅠㅠ 신도림점에서 항상 넣어주시던 자석 쿠폰도 오늘은 없네요…? 왜죠? ㅠㅠㅠ,"
맛
★
4
양
★
4
배달
★
2
"
넘 맛있게 잘먹었습니다 ㅎㅎ 양도많고 맛도. 넘 좋았어요 ㅎㅎ,"
맛
★
5
양
★
5
배달
★
5
"
준비시간에 정확하게 나왔습니다!,"
맛
★
5
양
★
5
배달
★
0
"
치킨 잘 먹었습니다.,"
맛
★
3
양
★
3
배달
★
3
"
"굽네치킨은 고추바사삭이 진리네요~ 
소스까지도 맛나요~","
맛
★
5
양
★
5
배달
★
5
"
오늘은 양이 너무 적더라구요. 평소대비 70%정도? 할인쿠폰 적용해서 그런건가;,"
맛
★
4
양
★
2
배달
★
4
"
아니 배달완료하셨으ㅕㄴ 했다고 문자를 주시던가 하셔야지 치킨 다 식어서 진짜 이게 뭔가 싶네요 서비스 완전 최악입니다 누나 식은 치킨 먹고싶습니까,"
맛
★
3
양
★
3
배달
★
1
"
"한시간반만에 왔어요 치킨이다식어서요ㅠ
늦으면 늦는다고 전화라도 주시면 안기다리는데 너무늦게와서  전화드리니 7분전에보냈다고하시던데 그럼 한시간 20분이나 지나서 가게서 보낸건데 쫌 너무하신것 같아요 치킨이라도 따뜻하면 모르겠는데 다식어서 차갑고요 많이 아쉬웠어요","
맛
★
4
양
★
4
배달
★
4
"
양념이 봉투에 쏟아지고 난리도 아니였는데.... 사진은 처참해서 안올릴께요,"
맛
★
5
양
★
5
배달
★
5
"
매콤하고 부드러운 소스 때문에 더 깊은 맛이 납니다. 볼케이노만큼 맵고요 노란소스가 머스타드인줄 알았는데 먹어보니 치즈소스 같더라고요. 버터갈릭소스 랍니다. 맛있게 잘 먹었습니다.,"
맛
★
5
양
★
4
배달
★
5
"
역시 고추바사삭은 진리,"
맛
★
5
양
★
5
배달
★
0
"
신메뉴라 먹어봤어요! 매콤하면서도 부드러워요 불향이 더해져서 맛있네요! 볼케이노보다 덜맵고 크리미함 덕분에 묵직한맛! 에크타르트랑 같이 더 맛있게 먹었어요!,"
맛
★
5
양
★
5
배달
★
5
"
신메뉴 맵기도 적당하고 맛있어요~~^^,"
맛
★
5
양
★
5
배달
★
5
"
배달도 예상시간보다 빨리 왔고 맛도 최고예요 ♥️,"
맛
★
5
양
★
5
배달
★
5
"
역시 고바순은 진리인것같아요 잘먹었습니당~~,"
맛
★
5
양
★
5
배달
★
5
"
