comment,rank
언제 먹어도 JMT...,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘먹었습니다!!,"
맛
★
5
양
★
5
배달
★
5
"
전통적인 맛인데 살짝 매콤해서 안 질리게 잘 먹었습니다 :),"
맛
★
5
양
★
5
배달
★
5
"
"항상 맛있게 잘먹고있어요ㅎㅎ
정말 닭강정은 여기가최고
가성비 맛 모두 최애!","
맛
★
5
양
★
5
배달
★
5
"
양도 많고 맛도 좋아요,"
맛
★
5
양
★
5
배달
★
5
"
양 진짜많아서 2명이서 먹어도 충분할정도의 양이에요,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었어요 ^^,"
맛
★
5
양
★
5
배달
★
5
"
양많고 맛있습니다,"
맛
★
5
양
★
5
배달
★
5
"
"닭강정은 항상 여기서 먹어요:-)
양도 푸짐하고, 맛있아요","
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었습니다,"
맛
★
5
양
★
5
배달
★
5
"
"맛있어요!! 배달 예상시간보다 한참 일찍와서 약간 놀랐지만, 오히려 좋았습니다☺
항상 잘 먹고있습니다!","
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘먹었습니다,"
맛
★
4
양
★
4
배달
★
4
"
맛있게 잘먹었습니다.,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘먹었습니다.,"
맛
★
5
양
★
5
배달
★
5
"
양 많고 맛있습니다,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘 먹었습니다,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 먹었습니다.,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘먹었어요.,"
맛
★
5
양
★
5
배달
★
5
"
존맛탱...........,"
맛
★
4
양
★
5
배달
★
5
"
자주 시켜먹는데 굿굿 맨날 순한맛 먹다가 간장맛으로 시켜봤는데 순한맛을 더 추천합니다!!,"
맛
★
5
양
★
5
배달
★
5
"
"안녕하세요
비린내가 많이 나네요..양은 많습니다","
맛
★
3
양
★
5
배달
★
5
"
굿!!!!!!!!!,"
맛
★
5
양
★
5
배달
★
5
"
맛있게 잘먹었어요.,"
맛
★
5
양
★
5
배달
★
5
"
잘 먹었습니다 ~~~~,"
맛
★
5
양
★
5
배달
★
5
"
그냥저냥 맛있게 먹었습니다,"
맛
★
4
양
★
4
배달
★
5
"
양많고 너무맛있어요,"
맛
★
5
양
★
5
배달
★
5
"
"맵찔인데 순한맛이 제 입엔 조금 매웠어요ㅠ
양도 많고 떡도 많이 넣어주셔서 총 3번으로 나눠서 잘 먹었어요
담에는 후라이드로 먹어보려구요^^","
맛
★
4
양
★
5
배달
★
5
"
튀김기름좀 적당히 재탕합시다,"
맛
★
1
양
★
5
배달
★
5
"
맛있게 잘먹었어요.,"
맛
★
5
양
★
5
배달
★
5
"
자주 시켜먹는데 진짜 양 많고 완전추천,"
맛
★
5
양
★
5
배달
★
5
"
세상에 사장님 닭강정에 당연 떡추가 필수라서 했는데 이렇게 왕창 주시다니 너무 감동이에요~~~!~!~!! 매콤달콤하고 맛있구요 ㅠㅠ 무엇보다 그냥 양도 많고요 너무 잘먹었습니다 ㅠㅠ,"
맛
★
5
양
★
5
배달
★
5
"
정말 맛있어요. 잘 먹었습니다.,"
맛
★
5
양
★
5
배달
★
5
"
"맛없습니다.비리고 바삭하지 않으며
맛이 너무 자극적입니다.
이전에 주문시엔 이러지 않았습니다.
주인 바뀌었나요?","
맛
★
1
양
★
1
배달
★
3
"
"몇번 시켰는지 모를 정도 항상 맛있게 먹습니다^^
이번에도 맛있게 먹었습니당^^♡","
맛
★
5
양
★
5
배달
★
5
"
"닭냄새인지 누린내인지 뭔지 모를 이상한 역겨운 냄새가 나서 도저히 못 먹고 남은거 버렸네요 ㅠ . ㅜ 양은 진짜 많은데 맛은 너무 실망입니다
예전에 일요일 아침마다 문여는 시간 기달려서 주문해먹었는데 간만에 시키니 너무 실망이네요","
맛
★
1
양
★
5
배달
★
5
"
언제나 먹어도 맛있는곳,"
맛
★
5
양
★
5
배달
★
5
"
"여기만한 닭강정은 못본거 같아요
언제나 믿고 시켜먹습니당!!","
맛
★
5
양
★
5
배달
★
5
"
