comment,rank
둘다 맛있어요. 매운 양념치킨은 아주 살짝만 매워요. 매운양념이라고 말안하면 잘 모를정도 였어요. 만족합니다,"
맛
★
5
양
★
5
배달
★
5
"
너무 맛있어요!!!,"
맛
★
5
양
★
5
배달
★
5
"
"너무맛있었습니다
진짜여기후라이드잘하는것같아요ㅎ","
맛
★
5
양
★
5
배달
★
5
"
"전에 맛있게 먹었던 기억이 있었는데
이번에는 좀 그랬습니다;;
양념치킨 소스에서 쉰내? 비슷한 냄새가 나고
후라이드  맛도 별로인 것 같고...
돌아오세요 사장님~","
맛
★
2
양
★
3
배달
★
5
"
가격대비 맛도 훌륭하고 배달도 빠르고 양도 많아요!! 강추,"
맛
★
5
양
★
5
배달
★
5
"
"배달도 예상보다 빠르고
치킨도 매콤바삭해서 맛있게 잘 먹었어요","
맛
★
5
양
★
5
배달
★
5
"
맛잇어용요요요요요요용,"
맛
★
5
양
★
5
배달
★
5
"
"후참잘 후라이드 최고 
튀김이 넘 맛나서 조각이 더 작았음 좋겠어요 ㅎㅎ
조각 작게도 요청이 되나요?","
맛
★
5
양
★
5
배달
★
5
"
맛나게먹고있습니다화이팅,"
맛
★
5
양
★
5
배달
★
5
"
역시 치킨은 후참입니다,"
맛
★
5
양
★
5
배달
★
5
"
"자주시켜먹는매장인데 오늘은 기름상태도 별로인거같고
닭에서 심오하게 냄새가심하네욧 ㅜ
항상 깨끗한가름에튀기는거같아 먹을때마다
기분좋게 맛나게먹었었는데
오늘은 좀 실망스럽네요..","
맛
★
1
양
★
5
배달
★
3
"
"너무너무 맛있게 잘 먹었어요
후라이드는 이제 여기서만 시켜 먹을 거 겉아요^^","
맛
★
5
양
★
5
배달
★
5
"
맛있게 먹었어요!! 역시 치킨은 후참입니다><,"
맛
★
5
양
★
5
배달
★
5
"
저 진짜 단골인데ㅠㅠ덜익어서왔어요..ㅠㅠ배달도 다 식어서왔어요ㅜ,"
맛
★
3
양
★
4
배달
★
4
"
"핫간장은 예상대로 매웠습니다
갠적으로 간장보단 눈꽃치즈가 좋아요
그래도 매운거 좋아하시는분들은 즐길수있을듯 합니다","
맛
★
5
양
★
5
배달
★
5
"
옛날식 튀김? 맛있었어요. 배달도 빠르고 서비스 곰젤리도 감사히 잘 먹었습니다.,"
맛
★
5
양
★
4
배달
★
5
"
