ratings,reviews
1,주문을 월에 시켰는데 월일에 배송이 왔네요 ㅎㅎㅎ 여기 회사 측과는 전화도 안 되고 아무런 연락을 받을 수가 없으니 답답하신 분들은 다른 곳에서 사시는 거 추천드립니다
1,실내에서 신는 건지 몰랐어요
1,남자 애들인데 너무 좋아요 유해 성분 없어 초등들도 바르기 좋아요
1,저렴해서 구매했지만 바지 완성도 떨어짐
1,양은 많은데 맛은 없었습니다
1,총 개 샀는데 사용하기 전에 부드러운 물티슈로 닦았는데 프린트가 번졌네요 교환하기가 귀찮아서 그냥 쓰지만 아쉽네요
1,예쁘고 심플해서 샀는데 재질이 깔끄러워요 살에 자국 다 베이고ㅠㅠ폭망이에요 제대로 확인 안 한 제 잘못이죠 참고로 싱글세트 퀸 세트 샀습니다
1,진짜 너무하시네요 배송이 늦는 건 엄절 수 없다 하고 참았지만 밑에 서랍이 금방 안돼서 되냐고 물어봤는데 전화도 안 받고 시에 톡을보냇는데 오후 시에 답해서 뭐 하나 물어보려고 하니 상담 시간이 아니라고 뜨네요 빨리 좀 해주세요 안되면 안 된다고 답장 부탁드립니다
1,피부 트러블 더 많이 올라와서 몸에 사용했는데 몸에도 뾰루지 나네요ㅜ
1,세정력이 약해요 처음 사용할 땐 세제 찌꺼기가 없어서 좋다고 했는데 사용해보니 너무 안 씻겨요 지멘스랑 안 맞는 건지 다시 쓰던 고체형으로 갈아탔습니다
1,지퍼 한번 쓰고 고장 남 최악
1,무게가 많이 나가요 연마제 닦느라 애먹었네요
1,무게를 많이 지탱을못햎자꾸 내려가 네오 ㅠ
1,생각 외로 모기가 안 잡혀요
1,상품가치 없는 크기를 보내셨어요 한입 사이즈 크기에 은 상했고요 이건 좀 아니다 싶네요 정가에서 할인액은 크던데
1,어이가 없네요 샘플 한 개가 비어서 왔네요
1,배송 느림 레깅스 밑단 마무리 엉성함 슈트 화면보다 밝음 주황색 같아요
1,완전 별로예요ᅳᅳ 사용법도 중국어랑 영어밖에 없고요 심지어 사이트에 올라온 사용법이랑도 다르네요 며칠 쓰다가 짜증 나서 그냥 버렸어요
1,어떤 용도로 사용하는 목적인지 알람 소리가 너무 작네요ㅠ
1,개를 시켜서 개는 제가 잘 들고 다녔어요 두 개는 아이들용으로 샀는데 빨간 건 아예 로고조차 없네요 불량인지 뭔지 ㅡㅡ 이게 뭔가요 검수도 안 하고 보이시나요 제가 바빠서 이제서야 봤더니 너무 놀랐네요 ㅡㅡ
1,성의 없는 제품 포장상태 보고 다시는 구입하고자 하는 마음이 생기네요
1,배송이 아주아주 느려서 행사 다 끝나고 나서 배송받았네요
1,붙이기 정말 어렵습니다 둘 다 버렸어요 다시 생포 상태입니다
1,돈이 조금 아까운 상황
1,쓰다 보니 그냥 싼 이유가 있습니다 흉터와 반응이 없네요
1,재구매 밤을 킬로를 시켜 먹었는데 마지막 키로 시킨 건 왜 이런가요 너무 상한 게 많아요 짜증 나네요
1,절대 안 살 겁니다 후회해요
1,닭 특유의 비린 맛이 나서 별로요 ㅠㅠ
1,물건은 좋은데 아직 모르겠고 배송은 빵점이네요 개봉하자마자 질질
1,싼 맛에 먹어요 ㅋㅋㅋ
1,앞으로 당겨서 앉을 때 잘 넘어지겠어요 신중하게 골랐어야 했는데
1,재구매 불량품이 너무 많아요 매번 주문했었는데 이번에는 실망스러워요 테이프가 끊어지는 경우도 많고 접착도 잘 안되고 불량이 너무 많네요
1,아이가 좋아하네요
1,상품평을 보고 맛이 없다는 걸 알고 샀으나 맛이 없긴 하네요 아이가 먹어보고 싶다고 해서 샀는데 안에 액체만 쏙 먹고 병모 양은 몇 번 씹어보더니 인제 씹지도 않아요ㅋㅋ 한 번쯤 재미로 샀다고 생각하고 넘어가려고 해도 가격이 비싸긴 해요
1,작은 사이즈 필요해서 구매했어요
1,마리 중 마리만 크고 나머지는 쪼그마한 것이 와서 조금 실망했네요 중으로 주문했는데
1,처음에는 몰랐는데 신고 나서 보니깐 리본 묶을라고 봤더니 한쪽이 리본이 당겨지지가 않아요 다음엔 확인 잘하고 보내주세요
1,분무기 윗부분이 손상이 되어있었는데 그래도 사용하는데 지장이 없어서 그냥 사용할게요
1,유액 바르는 허접한 종잇조각 색 바랜 밑그림 최악입니다
1,생각보다 너무 질겨요 부챗살이 훨씬 나아요
1,의자 개 다리 중에 짧은 다리가 하나 있고 그 결과 레벨이 맞지 않아 한쪽으로 기우뚱 거려 앉아있기 불편합니다 교환해주세요
1,사용할 때마다 삐거덕 소리가 너무 심해 동봉된 윤활유를 발라봤는데도 소리가 너무 나네요 절대 추천하지 않습니다 사지 마세요 운동할 때 신경 쓰여서 쓰도 못합니다
1,털이 너무 빠집니다 처음 세탁을 할 때 털이 세탁물에 다 묻어서 기겁을 했는데 두 번째도 역시 많이 빠지길래 저와는 안 맞는다 생각합니다
1,가운데 딱 고정이 안돼요 장거리 다녀오면서 착용했는데 아이가 움직이니 버클이 아래로 내려가면서 가슴 쪽 줄이 목을 감싸더라고요ᅮᅮ 가까운 거리 사용 시는 괜찮아요
1,상품은 늘 쓰던 거라 구매했는데요 제조일자 개월 이상 된 거 보내주셨네요 기분 나쁩니다
1,고들빼기라 돼있는데 깻잎이 제가 깻잎을 좋아하고 가격도 비슷하고 귀찮아서 다시 환불이나 교환 요청은 안 합니다만 이렇게 파시면 안 되죠 당신 이러지 않으시길
1,정전기 대박 길이가 긴 건 내 키가 작아서라고 쳐도 정전기는 왜 이렇게 심한 건지 만지기만 하면 따닥 따다닥 거리고 다리에 다 들러붙고 이런 옷 처음 사봤네요 세탁 후에도 이러니 어찌 입어야 되는지ㅜ
1,너무 크네요 생각보다 크게 나오니 주의하셔요
1,남편 선물로 사줬는데 하루 만에 벗겨졌어요 비추입니다
1,앙고라 털이 엄청 빠져요 옷에 다 붙어 나와요
1,너무 써요 ㅠㅠㅠ 웬만해서 잘 먹는데 표정이 막 일그러져요 ㅠㅠ
1,다른 제품 사용 시 전력 달려서인지 깜박거리네요
1,리뷰수 보고 샀는데 별로이요
1,블랙 사각 호 주문했는데 화이트 사각 호가 왔어요 바로 교환 신청했는데도 주 넘게 걸리고 짜증 났어요
1,여기 의자를 다시 사는 일은 없을 겁니다 의자 그 자체로는 괜찮지만 배송상태와 여기저기 긁힌 걸 그냥 주는 건 새 상품을 파는 방법이 아니라고 봅니다
1,별로예요 재구매 안 해요
1,활이요 다 들뜨고 은색 불량인데요 활도 다 안 채워져있어요 불량인 거면 교환해주시고 이걸 파시는 거면 휴 답변 부탁드려요
1,원래 기기에서 소리 나는 건가요 제품을 들 때 이상한 소리 나길래 촬영하였습니다 연락 주세요
1,고기가 많이 질겨요
1,에어팟 때문에 샀는데 연결 시 음질이 많이 안 좋습니다 폰으로 통화하는 느낌 많이 끊기기도 하고 피치도 낮게 들리기도 하고요
1,귓불 두꺼운 사람은 못쓰는 제품입니다 성인 남자 함으로 세게 눌렀는데도 끝까지 안 뚫리고 귓속 중간에서 멈추네요 여러 번 시도해봤지만 귀에 상처만 나고 완전 짜증 납니다
1,형태 유지가 상당히 안되고 가방끈은 조여도 살짝틱 건들기만 해도 바로 풀려버림
1,누가 밟은 것처럼 하나같이 다 더럽네요 마시기도 전에 기분이 너무 별로예요
1,별 한 개도 아깝습니다 이걸로 설치 후 일정도 자 났는데 네비 멈춤 현상이 지속적으로 발생됩니다 카드의 문제인 줄 알았으나 본체에 카드 꼽으니 잘 되네요 교환 반품 시기가 지나서 교환 환불은 어려울 것 같아 돈 버린 셈 치고 후기만 적습니다
1,상품정보제공 고시에 제조국 국산이라서 샀는데 물건 오니까 중국이네요 수정해서 판매하셔야 되는 거 아닌가요
1,너무 끈끈해서 밀려납니다 아쉽네요 제가 구매한 거만 그런 건지 궁금합니다 쓸 수가 없을 정도입니다 개선 바랍니다
1,배송이 너무 느려요 결국 급해서 철물점 쫓아갔네요
1,불량으로 인한 판매자 마인드 불만족 사과도 없었어요
1,원단이 가제수건처럼 얇고 거칠고 들어 올리면 다 비친다 반품 신청하고 왕복 택배비가 아까워서 그냥 쓰기로 했다
1,재구매 엄마가 알로에 많이 좋아하셔서 여러 번 주문해서 먹고 단골로 쿠폰도 받았답니다 이번엔 평소보다 대량 주문했는데 엄마가 받아보시고 끝이 다 잘려오고 오래 두지 못할 것 같아 상품이 그 전만큼 좋지 못하다고 하시네요ㅠ
1,바깥 페인팅이 안쪽까지 칠해져있어요
1,며칠 쓰면 너덜너덜해져요
1,아주 좋아요 싸고 맛있어요
1,ㅠㅠ 약간 후회가 됩니다
1,아무 도움 안 돼요 쓰고 바로 쓰레기통으로
1,집에서 입으려고 샀는데 색깔은 사진과 달라서 교환할까 하다 그냥 입으려구요
1,먼지를 빨아들이는 힘이 거의 없다시피함
1,집에 벌레가 하나도 업나 봐 요일 동안 깨끗하네요 ㅋㅋ
1,일주일에 한 번씩 두 번 사용했는데 어이없게 끊어지는 타이트하게 매서 잡아당기는 것도 아니고 무거운 거 계속 들고 있었던 것도 아니고 완전 몇천 원 버린 기분입니다
1,제품은 항상 쓰는 제품이라 구매했는데
1,사이즈가 많이 작고 부드럽지 않고 까끌까끌합니다
1,진짜 지속이고 커버든 다 별로 몇 시간도 안 가고 너무 그냥 얼굴 전체가 뜸 기초 탄탄히 해도 이건 정말 너무 별로 홈쇼핑에서ㅓ 안 사길 다행
1,어자 저어 유도 자다 더 누러 주
1,재구매 이 곰팡이 냄새나는 상자에 담아주는 왜 그런 건가요 종이 지관을 담아주는데 곰팡이 핀 상자에 담아주면 찝찝해서 어떻게 사용합니까 너무하는 거 아닙니까
1,물에 잘 풀어지는 만큼 질기지 못하네요
1,계속 무선 충전을 중지한다고 오류가 떠요 ㅠ 상성 어댑터를 써서 그런 거 같은데 어댑터 우선 다시 구매해보고 안 되면 반품 요청하려고 합니다
1,지속력 발림성 모두 짧고 색상은 화면보다 훨씬 어둡고 칙칙합니다
